Id,Title,Original Title,Original Language,Overview,Revenue,Budget,Runtime,Release Date,Vote Average,Vote Count,Genres,Production Companies,Production Countries,Spoken Languages,Director,Stars
663745,Camellia Sisters,Gái Già Lắm Chiêu 3,vi,"Khi người dẫn chương trình truyền hình đến quê hương của vị hôn phu để khám phá một bí mật showbiz, cô biết được mẹ chồng tương lai đang tìm cách ngăn cản đám cưới của họ.",5830719.0,786936.0,118,2020-01-25,4.8,176,[],"['Galaxy Studios', 'Lotte Entertainment']",['Vietnam'],['Tiếng Việt'],Nam Cito,"['Khanh Le', 'Ninh Duong Lan Ngoc', 'Le Xuan Tien', 'Thuy Anh', 'Kaity Nguyen', 'Le Khanh', 'Jun Vu' ,'Phuong Lan', 'Hong Van', 'Lam Vissay', 'Hoang Dung, 'Binh An']"
1124863,Song of the South,Đất Rừng Phương Nam,vi,"Khi chế độ thực dân Pháp chấm dứt bạo lực ở Việt Nam, cậu bé 12 tuổi thực hiện hành trình đầy nguy hiểm để tìm kiếm người cha ghẻ lạnh của mình.",5771947.0,1600000.0,110,2023-10-20,6.2,290,"['War', 'Family', 'Drama']","['HK Films', 'Galaxy Studio', 'Trấn Thành Town', 'Kim Entertainment']",['Vietnam'],['Tiếng Việt'],Quang Dung Nguyen,"['Bang Di', 'Hong-Anh', 'Vi Van Hua', 'Tran Thanh', 'Tuan Tran']"
567973,Furie,Hai Phượng,vi,"Khi một bé gái bị một đường dây buôn người bắt cóc, họ sớm nhận ra mình đã nhầm nhầm đứa trẻ. Mẹ của cô, một cựu thủ lĩnh băng đảng khét tiếng, đang theo sát dấu vết của họ và sẽ làm mọi cách để đưa con mình về nhà.",5756185.0,1000000.0,98,2019-02-22,6.3,487,"['Action', 'Drama', 'Thriller']","['Premiere Picture', 'Studio68']",['Vietnam'],['Tiếng Việt'],Le-Van Kiet,"['Veronica Ngo', 'Mai Cát Vi', 'Thanh Nhien Phan']"
1057914,Hustler vs Scammer,Siêu Lừa Gặp Siêu Lầy,vi,Unknown,5166455.0,1000000.0,112,2023-03-03,5.7,67,"['Comedy', 'Action']","['89s Group', 'Galaxy Studio']",['Vietnam'],['Tiếng Việt'],Vo Thanh Hoa,"['My Duyen', 'Nhat Trung', 'Anh Tu', 'Mac Van Khoa', 'Ngoc Phuoc']"
329,Jurassic Park,Jurassic Park,en,"Một doanh nhân giàu có bí mật tạo ra một công viên giải trí có những con khủng long sống được lấy từ DNA thời tiền sử. Trước ngày khai trương, ông mời một nhóm chuyên gia và hai đứa cháu háo hức đến trải nghiệm công viên và giúp xoa dịu những lo lắng của các nhà đầu tư. Tuy nhiên, công viên chẳng có gì thú vị khi hệ thống an ninh ngừng hoạt động và lũ khủng long trốn thoát.",920100000.0,63000000.0,127,1993-06-11,7.946,15658,"['Adventure', 'Science Fiction']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],"['Tiếng Anh', 'Tiếng Tây Ban Nha']",Unknown,Unknown
8587,The Lion King,The Lion King,en,"Một hoàng tử sư tử con bị người chú độc ác của mình loại bỏ niềm kiêu hãnh của mình, người cho rằng anh ta đã giết cha mình. Trong khi người chú cai trị bằng bàn tay sắt, hoàng tử lớn lên bên kia Savannah, sống theo một triết lý: Đừng lo lắng cho những ngày còn lại của bạn. Nhưng khi quá khứ ám ảnh anh, hoàng tử trẻ phải quyết định số phận của mình: Liệu anh sẽ tiếp tục là kẻ bị ruồng bỏ hay đối mặt với lũ quỷ trong mình và trở thành thứ mà anh cần trở thành?",763455561.0,45000000.0,89,1994-06-24,8.258,17563,"['Family', 'Animation', 'Drama']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
8467,Dumb and Dumber,Dumb and Dumber,en,"Lloyd và Harry là hai người đàn ông có sự ngu ngốc thực sự không thể diễn tả được. Khi Mary, một phụ nữ xinh đẹp, đánh mất chiếc vali quan trọng đựng tiền trước khi cô lên đường đến Aspen, hai người bạn (đã tìm thấy chiếc vali) quyết định trả lại cho cô. Sau một số ""cuộc phiêu lưu"", cuối cùng họ cũng đến được Aspen, nơi họ sử dụng số tiền bị mất để trang trải cuộc sống và chiến đấu vì trái tim của Mary.",247275374.0,16000000.0,107,1994-12-16,6.624,5816,['Comedy'],"['New Line Cinema', 'Motion Picture Corporation of America']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
594427,Face Off 4: The Walking Guests,Lật Mặt 4: Nhà Có Khách,vi,"Khi một người phụ nữ và bạn bè về thăm quê hương để tìm địa điểm chụp ảnh cưới cho khách hàng, nỗi kinh hoàng đã chuyển hướng tập trung của họ.",5060421.0,669159.0,100,2019-04-12,5.3,120,"['Comedy', 'Horror']","['CJ CGV Viet Nam', 'Hoang Phuc International', 'Ly Hai Production']",['Vietnam'],"['Tiếng Việt', 'Tiếng Anh']",Ly Hai,"['Ly Hai', 'Huy Khanh', 'Jay Quan']"
2088775,Saving the Death,Giải Cứu Thần Chết,vi,"Sau khi xem phim Nu Hon Than Chet, cô nữ sinh trung học vụng về mộng mơ An mong muốn có thể gặp được Thần Chết để giúp cô hoàn thành ước mơ của mình. Đúng như mong muốn của mình, An tình cờ gặp được Teen Reaper này. Tuy nhiên, anh ta là một Reaper vụng về và gây ra rất nhiều rắc rối cho An. Thay vì được giải cứu, An phải “cứu” mạng sống của Teen Reaper này.",5018251.0,210851.0,90,2009-01-15,5.3,83,"['Comedy', 'Fantasy']","['Galaxy Studio', 'HKFilm']",['Vietnam'],['Tiếng Việt'],Quang Dung Nguyen,"['Chi Thien', 'Minh Hang', 'Dong Nhi']"
3701078,Let Hoi Decide,Để Mai Tính 2: Để Hội Tính,vi,Một doanh nhân chuyển giới Việt Nam trở nên nghèo khó mỗi khi yêu ai đó.,4750000.0,1000000.0,95,2014-12-12,5.7,115,"['Comedy', 'Romance']","['CJ Entertainment', 'Chanh Phuong Phim', 'Early Risers Media Group']","['Vietnam', 'South Korea']",['Tiếng Việt'],Charlie Nguyen,"['Thai Hoa', 'Cory Jackson', 'Huy Khanh']"
10802,Showgirls,Showgirls,en,"Mới đến Las Vegas mà không có mối quan hệ nào, Nomi Malone nhận công việc là một vũ công kỳ lạ. Tài năng của cô nhanh chóng được chú ý bởi Cristal, một vũ công nổi tiếng, người nhận thấy cơ hội để củng cố khả năng diễn xuất của chính mình. Nhưng Nomi sẽ không chơi trò thứ yếu và sớm bắt đầu con đường độc ác của mình lên đỉnh cao, đâm sau lưng một cách tàn nhẫn bất cứ ai cản đường cô.",20350754.0,45000000.0,131,1995-09-22,5.539,1160,['Drama'],"['Pathé', 'Chargeurs', 'Charles Evans Productions', 'Carolco Pictures', 'Vegas Productions']","['France', 'United States of America']",['Tiếng Anh'],Unknown,Unknown
1592,Primal Fear,Primal Fear,en,"Một luật sư kiêu ngạo, có quyền lực cao đảm nhận vụ án một cậu bé giúp lễ tội nghiệp được phát hiện đang chạy trốn khỏi hiện trường vụ sát hại dã man vị giám mục đã đưa anh ta vào. Vụ án trở nên phức tạp hơn rất nhiều khi bị cáo tiết lộ rằng có thể có hoặc có thể không phải là người thứ ba trong phòng.",102600000.0,30000000.0,129,1996-03-06,7.7,3193,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Paramount', 'Rysher Entertainment']",['United States of America'],"['Tiếng Anh', 'Tiếng Tây Ban Nha']",Unknown,Unknown
9100,The Craft,The Craft,en,"Một học sinh mới đến trường Công giáo rơi vào nhóm phù thủy tuổi teen, những người sử dụng sức mạnh của mình để chống lại tất cả những ai dám vượt qua họ - dù họ là giáo viên, đối thủ hay phụ huynh can thiệp.",24800000.0,15000000.0,101,1996-05-03,6.752,1761,"['Horror', 'Drama', 'Fantasy']","['Columbia Pictures', 'Red Wagon Entertainment']",['United States of America'],"['Tiếng Anh', 'Tiếng Pháp']",Unknown,Unknown
959326,Em and Trinh,Em và Trịnh,vi,"Bộ phim xoay quanh nhạc sĩ biểu tượng Trịnh Công Sơn và những nàng thơ đến rồi đi trong cuộc đời ông, từ tuổi trẻ đầy nhiệt huyết những năm 1960 cho đến cuối những năm 1990 ở tuổi trung niên.",4165607.0,1967340.0,136,2022-06-17,6.1,187,"['Romance', 'Music']","['Galaxy Play', 'Galaxy Studio']",['Vietnam'],['Tiếng Việt'],Phan Gia Nhat Linh,"['Hoang Ha', 'Ha Quoc Hoang', 'Nguyen Le Viet Hung']"
11970,Hercules,Hercules,en,"Được ban cho sức mạnh siêu phàm, một phàm nhân trẻ tuổi tên là Hercules bắt đầu chứng tỏ mình là một anh hùng trong mắt cha mình, vị thần vĩ đại Zeus. Cùng với những người bạn của mình là ngựa bay Pegasus và Phil, huấn luyện viên cá nhân, Hercules bị lừa bởi tên phản diện hài hước, nóng nảy Hades, kẻ đang âm mưu chiếm lấy đỉnh Olympus!",252712101.0,85000000.0,93,1997-06-20,7.5,7056,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Romance']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],"['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Hy Lạp']",Unknown,Unknown
978,Seven Years in Tibet,Seven Years in Tibet,en,"Vận động viên leo núi người Áo, Heinrich Harrer hành trình đến dãy Himalaya mà không có gia đình để dẫn đầu một cuộc thám hiểm vào năm 1939. Nhưng khi Thế chiến thứ hai nổ ra, Harrer kiêu ngạo rơi vào tay lực lượng Đồng minh với tư cách là một tù nhân chiến tranh. Anh trốn thoát cùng một người bạn bị giam giữ và tìm đường đến Llaso, Tây Tạng, nơi anh gặp Đức Đạt Lai Lạt Ma 14 tuổi, người mà tình bạn cuối cùng đã thay đổi quan điểm của anh về cuộc sống.",131457682.0,70000000.0,136,1997-09-12,7.2,2708,"['Adventure', 'Drama', 'History']","['TriStar Pictures', 'Mandalay Entertainment', 'Applecross', 'Reperage & Vanguard Films', 'Sony Pictures']","['United Kingdom', 'United States of America']","['Tiếng Anh', 'Tiếng Trung', 'Tiếng Hindi', 'Tiếng Đức', 'Tiếng Bồ Đào Nha', '']",Unknown,Unknown
563,Starship Troopers,Starship Troopers,en,"Lấy bối cảnh ở tương lai, câu chuyện kể về một người lính trẻ tên Johnny Rico và những chiến công của anh ta trong Đội bộ binh cơ động. Sự nghiệp quân sự của Rico phát triển từ tuyển dụng đến hạ sĩ quan và cuối cùng trở thành sĩ quan trong bối cảnh cuộc chiến giữa các vì sao giữa loài người và loài nhện được gọi là ""Bọ"".",121214377.0,105000000.0,129,1997-11-07,7.1,4630,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['TriStar Pictures', 'Touchstone Pictures', 'Jon Davison Productions', 'Big Bug Pictures']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
597,Titanic,Titanic,en,"Bà Rose DeWitt Bukater, 101 tuổi, kể câu chuyện về cuộc đời bà trên con tàu Titanic, 84 năm sau. Cô bé Rose lên tàu cùng mẹ và chồng sắp cưới. Trong khi đó, Jack Dawson và Fabrizio De Rossi giành được vé hạng ba lên tàu. Rose kể toàn bộ câu chuyện từ lúc Titanic khởi hành cho đến khi nó chết—trong chuyến đi đầu tiên và cuối cùng—vào ngày 15 tháng 4 năm 1912.",2264162353.0,200000000.0,194,1997-11-18,7.904,24445,"['Drama', 'Romance']","['Paramount', '20th Century Fox', 'Lightstorm Entertainment']",['United States of America'],"['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Thụy Điển', 'Tiếng Ý', 'Tiếng Nga']",Unknown,Unknown
929,Godzilla,Godzilla,en,"Các cuộc thử nghiệm hạt nhân của Pháp biến một con kỳ nhông thành một con quái vật khổng lồ tấn công dữ dội các tàu chở hàng ở Thái Bình Dương. Một nhóm chuyên gia, trong đó có Niko Tatopoulos, kết luận rằng loài bò sát quá khổ chính là thủ phạm. Chẳng bao lâu, con thằn lằn khổng lồ được thả rông ở Manhattan khi quân đội Hoa Kỳ chạy đua tiêu diệt con quái vật trước khi nó sinh sản và sinh sản của nó chiếm lĩnh thế giới.",379000000.0,130000000.0,138,1998-05-20,5.6,3699,"['Science Fiction', 'Action', 'Thriller']","['TOHO', 'TriStar Pictures', 'Independent Pictures (II)', 'Fried Films', 'Centropolis Entertainment', 'Independent Pictures']","['Japan', 'United States of America']","['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Nhật', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",Unknown,Unknown
386084,Sweet 20,Em Là Bà Nội Của Anh,vi,"Bà Đại, một bà ngoại 70 tuổi chợt phát hiện mình đã biến thành con người 20 tuổi của mình. Phong cách và cách cư xử lỗi thời của cô gây ra một số rắc rối, nhưng tình yêu có thể là vấn đề lớn nhất.",3810429.0,1100000.0,127,2015-12-11,6.9,530,['Comedy'],"['HKFilm', 'CJ Entertainment']",['Vietnam'],['Tiếng Việt'],Phan Gia Nhat Linh,"['Hong-Anh', 'Vi Van Hua', 'Ngo Kien Huy']"
603,The Matrix,The Matrix,en,"Lấy bối cảnh thế kỷ 22, The Matrix kể câu chuyện về một hacker máy tính gia nhập một nhóm nổi dậy ngầm chống lại các máy tính rộng lớn và mạnh mẽ hiện đang thống trị trái đất.",463517383.0,63000000.0,136,1999-03-31,8.214,24661,"['Action', 'Science Fiction']","['Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures', 'Warner Bros. Pictures']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
1946,eXistenZ,eXistenZ,en,Một nhà thiết kế trò chơi đang chạy trốn khỏi những sát thủ phải chơi tác phẩm thực tế ảo mới nhất của mình với một thực tập sinh tiếp thị để xác định xem trò chơi có bị hỏng hay không.,2856712.0,15000000.0,97,1999-04-14,6.8,1807,"['Action', 'Thriller', 'Science Fiction']","['Alliance Atlantis', 'Natural Nylon Entertainment', 'Serendipity Point Films', 'Téléfilm Canada', 'The Movie Network', 'Existence Productions', 'Dimension Films', 'Screenventures XXIV Productions']","['Canada', 'United Kingdom', 'United States of America']",['Tiếng Anh'],Unknown,Unknown
37135,Tarzan,Tarzan,en,"Tarzan là một cậu bé mồ côi được nuôi dưỡng bởi một con vượn tên Kala từ khi còn nhỏ. Anh tin rằng đây là gia đình của mình, nhưng trong một chuyến thám hiểm, Jane Porter đã được Tarzan cứu. Sau đó anh ta phát hiện ra rằng mình là con người. Bây giờ Tarzan phải đưa ra quyết định xem mình nên thuộc về gia đình nào...",448200000.0,130000000.0,88,1999-06-18,7.406,6469,"['Family', 'Adventure', 'Animation', 'Drama']","['Walt Disney Pictures', 'Edgar Rice Burroughs Inc.', 'Walt Disney Feature Animation']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
1359,American Psycho,American Psycho,en,Một giám đốc điều hành ngân hàng đầu tư giàu có ở New York che giấu cái tôi tâm thần thay thế của mình với đồng nghiệp và bạn bè khi anh ta ngày càng lún sâu vào những tưởng tượng phi logic và vô cớ của mình.,34300000.0,7000000.0,102,2000-04-13,7.403,10339,"['Thriller', 'Drama', 'Crime']","['Lionsgate', 'Pressman Film', 'Muse Productions', 'Am Psycho Productions']","['Canada', 'United States of America']","['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Hong Kong']",Unknown,Unknown
937313,Naked Truth,Bẫy Ngọt Ngào,vi,"Một câu chuyện sâu sắc, khéo léo cân bằng giữa sự nhẹ nhàng và hấp dẫn, Bảy Ngọc Ngao (Sự thật trần trụi) xoay quanh bốn người bạn thời thơ ấu từng điên cuồng quyết tâm thoát khỏi cuộc sống độc thân. Sau nhiều năm xa cách, họ vui vẻ đoàn tụ để kỷ niệm 3 năm ngày cưới của người kế vị duy nhất của nhóm đi tìm hạnh phúc hôn nhân. Cuộc hội ngộ của họ có một bước ngoặt đáng kinh ngạc khi từng lớp một, những cuộc đời bị che giấu được tiết lộ, nhốt mỗi nhân vật trong một mạng lưới bí mật nguy hiểm rối rắm có nguy cơ đẩy các mối quan hệ bấp bênh đến bờ vực. Bảy Ngọt Ngao (Sự thật trần trụi) kể về sức mạnh của tình bạn lâu năm, bóng tối tiềm ẩn của nạn bạo hành gia đình và sức mạnh giải phóng cá nhân. Đạo diễn Đinh Hà Uyên Thư. Được sản xuất bởi Live On. Phát hành tại Mỹ bởi 3388 Films.",3628553.0,786936.0,92,2022-02-11,4.8,130,"['Drama', 'Thriller']","['CJ HK Entertainment', 'LiveOn']",['Vietnam'],['Tiếng Việt'],Ha Uyen Thu Dinh,"['Bao Anh', 'Minh Hang', 'Thuan Nguyen']"
545765,Face Off 3: Imperfect Trio,Lật Mặt 3: Ba Chàng Khuyết,vi,"Bị bỏ rơi khi còn nhỏ, ba người bạn khuyết tật nổi tiếng trên truyền hình — dẫn họ vào cuộc phiêu lưu tìm kiếm người mẹ đã bỏ rơi một trong số họ.",3584465.0,669159.0,102,2018-04-17,6.0,73,"['Comedy', 'Adventure']",[],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Huy Khanh', 'Song Luan', 'Pornnappan Pornpenpipat']"
4327,Charlie's Angels,Charlie's Angels,en,"Bộ ba chống tội phạm quyến rũ là bậc thầy cải trang, gián điệp và võ thuật đã trở lại! Khi một kẻ chủ mưu quỷ quyệt lôi kéo họ vào một âm mưu phá hủy sự riêng tư cá nhân, các Thiên thần, được hỗ trợ bởi người bạn đồng hành trung thành Bosley, đã lên đường hạ bệ những kẻ xấu. Nhưng khi một bí mật khủng khiếp được tiết lộ, nó khiến các Thiên thần trở thành mục tiêu ám sát.",264100000.0,92000000.0,98,2000-11-02,5.829,3977,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","['Columbia Pictures', 'Tall Trees Productions', 'Flower Films', 'Leonard Goldberg Productions']",['United States of America'],"['Tiếng Anh', 'Tiếng Đức', 'Tiếng Phần Lan', 'Tiếng Nhật', 'Hong Kong']",Unknown,Unknown
39939,Super Troopers,Super Troopers,en,"Năm người lính bang Vermont buồn chán, đôi khi cao hứng và luôn làm việc kém hiệu quả phải chứng minh giá trị của mình với thống đốc nếu không sẽ mất việc. Sau khi tình cờ gặp một đường dây ma túy, họ lên kế hoạch phá hoại nhưng lực lượng cảnh sát đối thủ đã ra tay cướp lấy vinh quang.",23182223.0,3000000.0,103,2001-02-15,6.6,1030,"['Comedy', 'Crime', 'Mystery']","['Fox Searchlight Pictures', 'Broken Lizard Industries', 'Jersey Shore', 'Cataland Films', 'Árpád Productions']",['United States of America'],['Tiếng Anh'],Unknown,Unknown
9398,Zoolander,Zoolander,en,"Dọn đường cho Derek Zoolander, người mẫu nam ba lần của năm của VH1. Mặt anh xịu xuống khi Hansel theo phong cách hippie sang trọng lao vào cướp giải thưởng năm nay. Bậc thầy thời trang độc ác Mugatu chớp lấy cơ hội để biến Derek thành một cỗ máy giết người. Đó là một âm mưu được dàn dựng khéo léo và chỉ với sự giúp đỡ của Hansel cùng một số phụ kiện được lựa chọn kỹ càng như Matilda, Derek mới có thể mang lại thế giới an toàn cho người mẫu nam ở khắp mọi nơi.",60800000.0,28000000.0,90,2001-09-28,6.205,4243,['Comedy'],"['Paramount', 'Village Roadshow Pictures', 'VH1', 'NPV Entertainment', 'Scott Rudin Productions', 'Red Hour', 'MFP Munich Film Partners GmbH & Company I. Produktions KG', 'VH1 Productions', 'Scott Rudin']","['Australia', 'Germany', 'United States of America']",['Tiếng Anh'],Unknown,Unknown
585,"Monsters, Inc.","Monsters, Inc.",en,"Sulley đáng yêu và người bạn đồng hành khôn ngoan Mike Wazowski là đội hù dọa hàng đầu tại Monsters, Inc., nhà máy xử lý tiếng hét ở Monstropolis. Khi một cô bé tên Boo lạc vào thế giới của họ, lũ quái vật mới là kẻ sợ hãi ngớ ngẩn, Sulley và Mike phải giữ cô ấy khuất tầm mắt và đưa cô ấy trở về nhà.",579700000.0,115000000.0,92,2001-11-01,7.843,17764,"['Animation', 'Comedy', 'Family']",['Pixar'],['United States of America'],['Tiếng Anh'],Unknown,Unknown
504824,Face Off: The Studio,Lật Mặt 2: Phim Trường,vi,A movie of Ly Hai Director (Vietnamese),3373614.0,472347.0,90,2016-04-29,4.4,76,['Action'],['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Hua Minh Dat', 'Ly Hai', 'Vo Dinh Hieu']"
361996,Yellow Flowers On the Green Grass,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,vi,"Sau hành động bạo lực khiến anh trai Tường bị liệt, Thiệu phát hiện ra ý nghĩa thực sự của tình anh em.",3293667.0,1100000.0,103,2015-10-02,7.4,1500,['Drama'],['Galaxy Studio'],['Vietnam'],['Tiếng Việt'],Victor Vu,"['Thinh Vinh', 'Khang Trong', 'Lam Thanh My']"
